id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes,verdict
57702395,1017,1563992593,2147483647,A,700,implementation,fedorizmalkov,Java 8,109,0,OK
57606906,1017,1563906099,2147483647,A,700,implementation,Rohinee136,Java 8,140,0,OK
57499600,1017,1563788473,2147483647,A,700,implementation,Lenaleol,Java 8,140,0,OK
57496861,1017,1563785338,2147483647,A,700,implementation,Lenaleol,Java 8,155,0,OK
57482156,1017,1563764392,2147483647,A,700,implementation,vvenkai,Java 8,124,0,OK
57374755,1017,1563624578,2147483647,A,700,implementation,zain025,Java 8,139,0,OK
57301513,1017,1563495088,2147483647,D,1900,bitmasks-brute force-data structures,Smurferino,Java 8,576,0,OK
57270606,1017,1563439616,2147483647,A,700,implementation,ummd,Java 8,155,0,OK
57153625,1017,1563292122,2147483647,D,1900,bitmasks-brute force-data structures,MagentaCobra,Java 8,1747,17715200,OK
57153539,1017,1563291999,2147483647,D,1900,bitmasks-brute force-data structures,MagentaCobra,Java 8,2000,0,TIME_LIMIT_EXCEEDED
57153459,1017,1563291873,2147483647,D,1900,bitmasks-brute force-data structures,MagentaCobra,Java 8,1762,17817600,OK
57153357,1017,1563291706,2147483647,D,1900,bitmasks-brute force-data structures,MagentaCobra,Java 8,1762,18432000,OK
57153142,1017,1563291378,2147483647,D,1900,bitmasks-brute force-data structures,MagentaCobra,Java 8,2000,0,TIME_LIMIT_EXCEEDED
57152990,1017,1563291182,2147483647,D,1900,bitmasks-brute force-data structures,MagentaCobra,Java 8,2000,0,TIME_LIMIT_EXCEEDED
57072689,1017,1563161062,2147483647,A,700,implementation,AllenYe,Java 8,156,0,OK
57018493,1017,1563108522,2147483647,A,700,implementation,BerserkVl,Java 8,109,0,OK
56984114,1017,1563030605,2147483647,B,1200,implementation-math,beykus,Java 8,140,0,OK
56947452,1017,1562975081,2147483647,C,1600,constructive algorithms-greedy,Smurferino,Java 8,140,0,OK
56946733,1017,1562972160,2147483647,B,1200,implementation-math,Smurferino,Java 8,124,0,OK
56946164,1017,1562970395,2147483647,A,700,implementation,Smurferino,Java 8,156,0,OK
