id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes
57459636,168,1563714173,2147483647,A,1000,implementation-math,mukkuu,Java 8,280,0
57332249,168,1563547203,2147483647,A,1000,implementation-math,deepaktiwari9898,Java 8,372,0
55869477,168,1561125376,2147483647,A,1000,implementation-math,hctep,Java 8,280,0
55834404,168,1561041543,2147483647,A,1000,implementation-math,bashar99,Java 8,248,0
55597721,168,1560614555,2147483647,A,1000,implementation-math,kuxha,Java 8,218,0
55292809,168,1559982555,2147483647,A,1000,implementation-math,Ikari_stream,Java 8,218,0
53837582,168,1557204363,2147483647,A,1000,implementation-math,aspatelakbar,Java 8,218,0
53116003,168,1555920326,2147483647,A,1000,implementation-math,bencebosko,Java 8,248,0
53029529,168,1555710869,2147483647,C,1600,implementation-math,elkadymohammed01,Java 8,982,0
51817703,168,1553508907,2147483647,A,1000,implementation-math,kissscreen,Java 8,218,0
51456858,168,1552930166,2147483647,A,1000,implementation-math,khiladir,Java 8,248,0
50317152,168,1550839787,2147483647,A,1000,implementation-math,_Eklasur_Rahman_,Java 8,280,0
50307314,168,1550818943,2147483647,A,1000,implementation-math,saurabhs1206,Java 8,218,0
49234872,168,1548919679,2147483647,A,1000,implementation-math,rkhiladi,Java 8,280,0
49133461,168,1548742589,2147483647,A,1000,implementation-math,alytaha,Java 8,280,0
48450580,168,1547633229,2147483647,A,1000,implementation-math,napster,Java 8,280,0
48087922,168,1546949648,2147483647,A,1000,implementation-math,viratK,Java 8,218,0
47669988,168,1546059720,2147483647,A,1000,implementation-math,PercySpecter,Java 8,280,0
47548011,168,1545909877,2147483647,A,1000,implementation-math,di_halt,Java 8,248,0
46061231,168,1542893221,2147483647,A,1000,implementation-math,zouzankou,Java 8,280,0
45348505,168,1541483262,2147483647,A,1000,implementation-math,I.A.K.O.V,Java 8,248,0
45193481,168,1541135157,2147483647,C,1600,implementation-math,ViciousCoder,Java 8,280,0
42675270,168,1536412614,2147483647,A,1000,implementation-math,Shaykhutdinov-T-I,Java 8,248,0
42212939,168,1535469867,2147483647,A,1000,implementation-math,mariam__,Java 8,278,0
41559067,168,1534165870,2147483647,A,1000,implementation-math,deepak4669,Java 8,342,0
41265810,168,1533539047,2147483647,A,1000,implementation-math,TaglasovEd,Java 8,340,0
40762062,168,1532579218,2147483647,A,1000,implementation-math,ritik027,Java 8,248,0
40030613,168,1530881396,2147483647,A,1000,implementation-math,kritika_1001,Java 8,310,0
39986511,168,1530799214,2147483647,A,1000,implementation-math,Hanan_1995,Java 8,278,0
39606589,168,1529853432,2147483647,A,1000,implementation-math,LU_DareDevil,Java 8,310,0
38928028,168,1528049940,2147483647,A,1000,implementation-math,preetikkb,Java 8,310,20992000
38927246,168,1528047333,2147483647,A,1000,implementation-math,solo2309,Java 8,312,20889600
38720630,168,1527602545,2147483647,A,1000,implementation-math,amrtanshu,Java 8,280,0
38571060,168,1527104000,2147483647,A,1000,implementation-math,Mig_Rz,Java 8,310,0
38561320,168,1527077676,2147483647,A,1000,implementation-math,MichaelTC,Java 8,310,0
38547883,168,1527030730,2147483647,A,1000,implementation-math,Ahmed_Diab,Java 8,278,0
38518530,168,1526936505,2147483647,A,1000,implementation-math,KEV.MC,Java 8,340,0
38518183,168,1526934942,2147483647,A,1000,implementation-math,anabel78,Java 8,312,0
38467995,168,1526843706,2147483647,A,1000,implementation-math,hecz,Java 8,374,0
38383642,168,1526594436,2147483647,A,1000,implementation-math,Braian7,Java 8,342,0
38383575,168,1526594180,2147483647,A,1000,implementation-math,Naiar7,Java 8,280,0
38347029,168,1526557155,2147483647,A,1000,implementation-math,Omar_Emad,Java 8,340,0
37440322,168,1524062167,2147483647,A,1000,implementation-math,ghangh,Java 8,374,21094400
36419347,168,1521487655,2147483647,C,1600,implementation-math,abdullah_eid,Java 8,702,22016000
36419312,168,1521487559,2147483647,C,1600,implementation-math,abdullah_eid,Java 8,732,21913600
36365599,168,1521306627,2147483647,C,1600,implementation-math,Ahmed.Shawky,Java 8,389,27443200
36297556,168,1521113971,2147483647,A,1000,implementation-math,nickneo,Java 8,310,20992000
35793357,168,1519841810,2147483647,A,1000,implementation-math,Zedronar,Java 8,248,20684800
35531401,168,1519153784,2147483647,A,1000,implementation-math,CharlesDai,Java 8,278,20582400
35286395,168,1518682736,2147483647,A,1000,implementation-math,MitAk,Java 8,310,21196800
35038030,168,1518043373,773,A,1000,implementation-math,kalandar,Java 8,310,20992000
34660908,168,1517228916,2147483647,A,1000,implementation-math,alokatcodeforces,Java 8,248,20684800
34660389,168,1517227721,2147483647,A,1000,implementation-math,alokatcodeforces,Java 8,280,20992000
34657680,168,1517221543,2147483647,A,1000,implementation-math,prateek4010,Java 8,310,20992000
34491748,168,1516730336,2147483647,A,1000,implementation-math,MQstafa,Java 8,310,20889600
34161379,168,1515875696,2147483647,A,1000,implementation-math,_bacali,Java 8,218,20684800
32550460,168,1511354678,2147483647,A,1000,implementation-math,Sephiroth616,Java 8,280,0
31954585,168,1509548796,2147483647,A,1000,implementation-math,anubhav_deshwal,Java 8,280,0
31863356,168,1509273038,2147483647,A,1000,implementation-math,mariem_kandil,Java 8,280,0
31807140,168,1509117266,2147483647,E,2400,games-math,Owwee,Java 8,280,0
31796396,168,1509109969,2268,B,1700,implementation-strings,xracer108,Java 8,342,3788800
31213420,168,1507717786,2147483647,A,1000,implementation-math,kocko,Java 8,248,0
31008779,168,1507182444,2147483647,C,1600,implementation-math,zodiacleo,Java 8,343,0
30461375,168,1505732291,2147483647,A,1000,implementation-math,zodiacleo,Java 8,218,20480000
29513855,168,1502915573,2147483647,A,1000,implementation-math,Bibhuti,Java 8,248,0
29321618,168,1502354396,2147483647,A,1000,implementation-math,ashcodish,Java 8,248,20889600
29290928,168,1502214161,2147483647,A,1000,implementation-math,Omegaxis213,Java 8,248,20480000
29109411,168,1501613302,2147483647,A,1000,implementation-math,mostafayousry8,Java 8,372,20889600
28299476,168,1499244429,2147483647,B,1700,implementation-strings,tomdmitriev,Java 8,1246,30412800
27739964,168,1497278989,2147483647,A,1000,implementation-math,Seeze,Java 8,280,0
27560315,168,1496570303,2147483647,A,1000,implementation-math,sklvm,Java 8,248,0
27460554,168,1496213151,2147483647,A,1000,implementation-math,KrolosF,Java 8,280,0
27299733,168,1495537847,2147483647,A,1000,implementation-math,danuwfna,Java 8,278,0
26973323,168,1494331955,2147483647,A,1000,implementation-math,DavidVictor2004,Java 8,248,0
26955428,168,1494243261,2147483647,A,1000,implementation-math,Kishan_25,Java 8,280,0
26951692,168,1494226158,2147483647,A,1000,implementation-math,da_201501181,Java 8,218,6348800
26949416,168,1494212711,2147483647,A,1000,implementation-math,Don_1234,Java 8,248,15872000
26791290,168,1493666969,2147483647,E,2400,games-math,beroul,Java 8,498,20684800
26782248,168,1493629624,1024,C,1600,implementation-math,beroul,Java 8,311,20992000
26782047,168,1493628905,305,A,1000,implementation-math,beroul,Java 8,248,20480000
25398678,168,1489220581,2147483647,A,1000,implementation-math,durdenplato,Java 8,310,20889600
25012045,168,1488025330,2147483647,A,1000,implementation-math,Kammola,Java 8,218,20582400
24897498,168,1487780156,2147483647,A,1000,implementation-math,AhmedSoliman,Java 8,218,20582400
24612513,168,1486916070,2147483647,A,1000,implementation-math,Imaginary,Java 8,342,20889600
24016662,168,1485020554,2147483647,A,1000,implementation-math,zodiacleo,Java 8,372,20889600
23539966,168,1483548842,2147483647,A,1000,implementation-math,hala333,Java 8,248,20582400
22699673,168,1480869993,2147483647,A,1000,implementation-math,NaderAngeLo,Java 8,280,0
22685056,168,1480797742,2147483647,A,1000,implementation-math,Michael_Ghaly,Java 8,342,0
22685055,168,1480797742,2147483647,A,1000,implementation-math,Michael_Ghaly,Java 8,280,0
22483680,168,1480056928,2147483647,A,1000,implementation-math,sathish333,Java 8,310,0
22312670,168,1479493405,2147483647,A,1000,implementation-math,vjudge3,Java 8,310,0
21693197,168,1477166546,2147483647,A,1000,implementation-math,bashir,Java 8,342,0
21632582,168,1477023651,2147483647,A,1000,implementation-math,Hanvita,Java 8,280,0
21576356,168,1476819503,2147483647,A,1000,implementation-math,anand_prakash_yadav,Java 8,310,20992000
21390913,168,1476301443,2147483647,A,1000,implementation-math,AhmedRagabIssa,Java 8,310,20787200
21386472,168,1476288881,2147483647,A,1000,implementation-math,omartarek32,Java 8,310,20889600
