id,contestId,creationTimeSeconds,relativeTimeSeconds,problemIndex,problemRating,tags,authorhandle,programmingLanguage,timeConsumedMillis,memoryConsumedBytes,verdict
57557085,1000,1563827381,2147483647,B,1600,greedy,adeepgarg13,Java 8,202,12697600,OK
57390949,1000,1563637865,2147483647,D,1900,combinatorics-dp,Vaibhav96,Java 8,171,4710400,OK
56776598,1000,1562727754,2147483647,E,2100,dfs and similar-graphs-trees,benpr99,Java 8,1153,137523200,OK
56755934,1000,1562680471,2147483647,D,1900,combinatorics-dp,kozinii,Java 8,170,4403200,OK
56489927,1000,1562187356,2156,A,1200,greedy-implementation,RehamNaguib,Java 8,124,0,OK
56186218,1000,1561697947,2147483647,B,1600,greedy,vimanyu,Java 8,1000,0,TIME_LIMIT_EXCEEDED
55404528,1000,1560181763,2147483647,C,1700,data structures-implementation-sortings,norty,Java 8,1060,3993600,OK
55404413,1000,1560181556,2147483647,C,1700,data structures-implementation-sortings,norty,Java 8,3000,0,TIME_LIMIT_EXCEEDED
55275985,1000,1559934411,2147483647,F,2400,data structures-divide and conquer,Dukkha,Java 8,1185,32870400,OK
54800239,1000,1559129825,2147483647,A,1200,greedy-implementation,Ikari_stream,Java 8,109,0,OK
54784094,1000,1559095658,2147483647,E,2100,dfs and similar-graphs-trees,BencilSharpeniro,Java 8,935,145203200,OK
54741153,1000,1559030522,2147483647,A,1200,greedy-implementation,mojomiao,Java 8,171,0,OK
54579706,1000,1558755581,2147483647,F,2400,data structures-divide and conquer,TheSawan,Java 8,3000,724582400,TIME_LIMIT_EXCEEDED
54324450,1000,1558142292,2147483647,E,2100,dfs and similar-graphs-trees,caoash,Java 8,889,145203200,OK
54173027,1000,1557923078,2147483647,A,1200,greedy-implementation,KrisDo,Java 8,109,0,OK
53834495,1000,1557190591,2147483647,E,2100,dfs and similar-graphs-trees,Intrincantation,Java 8,1356,129843200,OK
53832367,1000,1557178305,2147483647,E,2100,dfs and similar-graphs-trees,Intrincantation,Java 8,2000,19865600,TIME_LIMIT_EXCEEDED
52264652,1000,1554288696,2147483647,B,1600,greedy,Kitty8_,Java 8,249,0,OK
52264183,1000,1554287819,2147483647,B,1600,greedy,Kitty8_,Java 8,265,0,OK
51467932,1000,1552966901,2147483647,C,1700,data structures-implementation-sortings,Atomwolfie,Java 8,311,15667200,OK
51466760,1000,1552962384,2147483647,B,1600,greedy,Atomwolfie,Java 8,124,0,OK
51466580,1000,1552961625,2147483647,A,1200,greedy-implementation,Atomwolfie,Java 8,124,0,OK
51355151,1000,1552706775,2147483647,A,1200,greedy-implementation,vjudge5,Java 8,139,0,OK
51163831,1000,1552311107,2147483647,C,1700,data structures-implementation-sortings,katooshka,Java 8,1637,79667200,OK
51131466,1000,1552226035,2147483647,A,1200,greedy-implementation,vjudge2,Java 8,140,0,OK
51125362,1000,1552216879,2147483647,D,1900,combinatorics-dp,KulikAlex,Java 8,124,0,OK
51108402,1000,1552183238,2147483647,A,1200,greedy-implementation,vjudge4,Java 8,139,0,OK
50869147,1000,1551827433,2147483647,E,2100,dfs and similar-graphs-trees,Dukkha,Java 8,1341,133529600,OK
50868492,1000,1551824573,2147483647,D,1900,combinatorics-dp,Dukkha,Java 8,139,0,OK
50863043,1000,1551812227,2147483647,C,1700,data structures-implementation-sortings,Dukkha,Java 8,545,16179200,OK
50862326,1000,1551811110,2147483647,B,1600,greedy,Dukkha,Java 8,140,0,OK
50861146,1000,1551809632,2147483647,A,1200,greedy-implementation,Dukkha,Java 8,109,0,OK
50422243,1000,1551001274,2147483647,A,1200,greedy-implementation,vjudge4,Java 8,124,0,OK
49901146,1000,1550136321,2147483647,B,1600,greedy,katooshka,Java 8,171,6246400,OK
49806596,1000,1549916177,2147483647,D,1900,combinatorics-dp,Ahmad_Elsagheer,Java 8,124,0,OK
49553334,1000,1549525790,2147483647,B,1600,greedy,llamaoo7,Java 8,124,0,OK
49552809,1000,1549524281,2147483647,A,1200,greedy-implementation,llamaoo7,Java 8,124,0,OK
49477581,1000,1549311251,2147483647,B,1600,greedy,TheSawan,Java 8,140,0,OK
49373340,1000,1549132172,2147483647,C,1700,data structures-implementation-sortings,Ahmed..Adel..Selim,Java 8,483,9728000,OK
49363297,1000,1549115582,2147483647,A,1200,greedy-implementation,Ahmed..Adel..Selim,Java 8,155,0,OK
49327191,1000,1549031667,2147483647,B,1600,greedy,mennafadali,Java 8,140,0,OK
49233995,1000,1548918060,2147483647,A,1200,greedy-implementation,WeedWizard,Java 8,124,0,OK
49217857,1000,1548870641,2147483647,B,1600,greedy,Z_E_R_0,Java 8,124,0,OK
49214342,1000,1548866401,2147483647,C,1700,data structures-implementation-sortings,Z_E_R_0,Java 8,1715,40140800,OK
48982675,1000,1548500487,2147483647,B,1600,greedy,Leks360,Java 8,264,0,OK
48974811,1000,1548493784,2147483647,A,1200,greedy-implementation,Leks360,Java 8,155,0,OK
48957330,1000,1548479508,2147483647,C,1700,data structures-implementation-sortings,r_sutaria,Java 8,1279,42086400,OK
48924464,1000,1548408917,2147483647,A,1200,greedy-implementation,Eshan_ict,Java 8,140,0,OK
