fileName,noOfIfs,noOfSwitches,noOfLoops,noOfBreaks,noOfPriorityQueue,noOfSort,HashSetPresent,HashMapPresent,RecursionPresent,noOfNestedLoops
/Users/satya/Desktop/Personal/CodeDataset/881.java,2,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/839.java,3,0,6,0,0,0,0,0,0,3
/Users/satya/Desktop/Personal/CodeDataset/993.java,9,0,4,0,0,0,0,0,0,3
/Users/satya/Desktop/Personal/CodeDataset/585.java,3,0,5,1,0,1,1,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/593.java,3,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/655.java,0,0,4,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/878.java,1,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/897.java,7,0,3,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/747.java,7,0,7,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/946.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/679.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/696.java,0,0,2,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/842.java,6,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/638.java,9,0,4,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/792.java,2,0,3,1,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/618.java,12,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/927.java,3,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/659.java,2,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/823.java,0,0,6,0,0,0,0,0,0,3
/Users/satya/Desktop/Personal/CodeDataset/989.java,14,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/874.java,4,0,5,2,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/1007.java,3,0,5,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/931.java,4,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/675.java,0,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/730.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/622.java,1,0,6,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/788.java,0,0,4,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/634.java,1,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/818.java,1,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/662.java,3,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/635.java,1,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/623.java,4,0,5,2,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/789.java,1,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/674.java,3,0,2,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/731.java,6,0,7,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1006.java,3,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/930.java,3,0,4,0,1,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/571.java,2,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/988.java,9,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/967.java,2,0,2,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/658.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/588.java,1,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/863.java,2,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/619.java,0,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/951.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/793.java,0,0,2,0,0,0,0,0,0,1
